RECIFE - SÃO VICENTE (VIA BUENOS AIRES);120; R$  24,20 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - TRACUNHAÉM;60; R$  12,10 
RECIFE - NAZARÉ;64; R$  12,91 
RECIFE - BUENOS AIRES;78; R$  15,73 
RECIFE - VICÊNCIA;90; R$  18,15 
RECIFE - MURUPÉ;100; R$  20,17 
RECIFE - SIRIJI;107; R$  21,58 
RECIFE - SÃO VICENTE;120; R$  24,20 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
CAMARAGIBE - TRACUNHAÉM;45; R$  9,07 
CAMARAGIBE - NAZARÉ;49; R$  9,88 
CAMARAGIBE - BUENOS AIRES;63; R$  12,70 
CAMARAGIBE - VICÊNCIA;75; R$  15,12 
CAMARAGIBE - MURUPÉ;85; R$  17,14 
CAMARAGIBE - SIRIJI;92; R$  18,55 
CAMARAGIBE - SÃO VICENTE;105; R$  21,17 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - TRACUNHAÉM;37; R$  7,46 
SÃO LOURENÇO - NAZARÉ;41; R$  8,27 
SÃO LOURENÇO - BUENOS AIRES;55; R$  11,09 
SÃO LOURENÇO - VICÊNCIA;67; R$  13,51 
SÃO LOURENÇO - MURUPÉ;77; R$  15,53 
SÃO LOURENÇO - SIRIJI;84; R$  16,94 
SÃO LOURENÇO - SÃO VICENTE;97; R$  19,56 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - TRACUNHAÉM;25; R$  5,04 
BAR CHÃ - NAZARÉ;29; R$  5,85 
BAR CHÃ - BUENOS AIRES;43; R$  8,67 
BAR CHÃ - VICÊNCIA;55; R$  11,09 
BAR CHÃ - MURUPÉ;65; R$  13,11 
BAR CHÃ - SIRIJI;72; R$  14,52 
BAR CHÃ - SÃO VICENTE;83; R$  16,74 
PAUDALHO - CARPINA;12; R$  3,00 
PAUDALHO - TRACUNHAÉM;18; R$  3,63 
PAUDALHO - NAZARÉ;22; R$  4,44 
PAUDALHO - BUENOS AIRES;36; R$  7,26 
PAUDALHO - VICÊNCIA;48; R$  9,68 
PAUDALHO - MURUPÉ;58; R$  11,70 
PAUDALHO - SIRIJI;65; R$  13,11 
PAUDALHO - SÃO VICENTE;76; R$  15,33 
CARPINA - TRACUNHAÉM;14; R$  3,00 
CARPINA - NAZARÉ;18; R$  3,63 
CARPINA - BUENOS AIRES;24; R$  4,84 
CARPINA - VICÊNCIA;40; R$  8,07 
CARPINA - MURUPÉ;54; R$  10,89 
CARPINA - SIRIJI;57; R$  11,49 
CARPINA - SÃO VICENTE ;68; R$  13,71 
TRACUNHAÉM - NAZARÉ;10; R$  3,00 
TRACUNHAÉM - BUENOS AIRES;18; R$  3,63 
TRACUNHAÉM - VICÊNCIA;30; R$  6,05 
TRACUNHAÉM - MURUPÉ;40; R$  8,07 
TRACUNHAÉM - SIRIJI;47; R$  9,48 
TRACUNHAÉM - SÃO VICENTE;58; R$  11,70 
NAZARÉ - BUENOS AIRES;14; R$  3,00 
NAZARÉ - VICÊNCIA;26; R$  5,24 
NAZARÉ - MURUPÉ;36; R$  7,26 
NAZARÉ - SIRIJI;43; R$  8,67 
NAZARÉ - SÃO VICENTE;54; R$  10,89 
BUENOS AIRES - VICÊNCIA;12; R$  3,00 
BUENOS AIRES - MURUPÉ;23; R$  4,64 
BUENOS AIRES - SIRIJI;31; R$  6,25 
VICÊNCIA - VICÊNCIA;5; R$  3,00 
VICÊNCIA - MURUPÉ;10; R$  3,00 
VICÊNCIA - SIRIJI;19; R$  3,83 
VICÊNCIA - SÃO VICENTE;30; R$  6,05 
MURUPÉ - SIRIJI;7; R$  3,00 
MURUPÉ - SÃO VICENTE;18; R$  3,63 
SIRIJI - SIRIJI;5; R$  3,00 
SIRIJI - SÃO VICENTE;11; R$  3,00 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,00 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
BAR CHÃ - PAUDALHO;7; R$  3,00 
RECIFE - FEIRA NOVA;86; R$  17,34 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - LAGOA ITAENGA;72; R$  14,52 
RECIFE - FEIRA NOVA;86; R$  17,34 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
CAMARAGIBE - LAGOA ITAENGA;57; R$  11,49 
CAMARAGIBE - FEIRA NOVA;71; R$  14,32 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - LAGOA ITAENGA;49; R$  9,88 
SÃO LOURENÇO - FEIRA NOVA;63; R$  12,70 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - LAGOA ITAENGA;37; R$  7,46 
BAR CHÃ - FEIRA NOVA;51; R$  10,28 
PAUDALHO - CARPINA;12; R$  3,00 
PAUDALHO - LAGOA ITAENGA;30; R$  6,05 
PAUDALHO - FEIRA NOVA;44; R$  8,87 
CARPINA - LAGOA ITAENGA;18; R$  3,63 
CARPINA - FEIRA NOVA;32; R$  6,45 
LAGOA ITAENGA - FEIRA NOVA;14; R$  3,00 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
PAUDALHO - CARPINA;12; R$  3,00 
RECIFE - LIMOEIRO;79; R$  15,93 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - L. DO CARRO;63; R$  12,70 
RECIFE - LIMOEIRO;79; R$  15,93 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
CAMARAGIBE - L. DO CARRO;48; R$  9,68 
CAMARAGIBE - LIMOEIRO;64; R$  12,91 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - L. DO CARRO;40; R$  8,07 
SÃO LOURENÇO - LIMOEIRO;56; R$  11,29 
BAR CHÃ - PAUDALHO;7; R$  2,30 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - L. DO CARRO;25; R$  5,04 
BAR CHÃ - LIMOEIRO;41; R$  8,27 
PAUDALHO - CARPINA;12; R$  2,42 
PAUDALHO - L. DO CARRO;18; R$  3,63 
PAUDALHO - LIMOEIRO;34; R$  6,86 
CARPINA - L. DO CARRO;6; R$  3,00 
CARPINA - LIMOEIRO;22; R$  4,44 
L. DO CARRO - LIMOEIRO;16; R$  3,23 
RECIFE - SURUBIM;120; R$  28,81 
RECIFE - BAR CHÃ;38; R$  9,12 
RECIFE - PAUDALHO;45; R$  10,80 
RECIFE - CARPINA;57; R$  13,68 
RECIFE - L. DO CARRO;63; R$  15,12 
RECIFE - LIMOEIRO;79; R$  18,97 
RECIFE - MENDES;86; R$  20,65 
RECIFE - FREITAS;94; R$  22,57 
RECIFE - ENCRUZILHADA;99; R$  23,77 
RECIFE - SURUBIM;120; R$  28,81 
CAMARAGIBE - BAR CHÃ;23; R$  5,52 
CAMARAGIBE - PAUDALHO;30; R$  7,20 
CAMARAGIBE - CARPINA;42; R$  10,08 
CAMARAGIBE - L. DO CARRO;48; R$  11,52 
CAMARAGIBE - LIMOEIRO;64; R$  15,36 
CAMARAGIBE - MENDES;71; R$  17,05 
CAMARAGIBE - FREITAS;79; R$  18,97 
CAMARAGIBE - ENCRUZILHADA;84; R$  20,17 
CAMARAGIBE - SURUBIM;105; R$  25,21 
SÃO LOURENÇO - PAUDALHO;22; R$  5,28 
SÃO LOURENÇO - CARPINA;34; R$  8,16 
SÃO LOURENÇO - L. DO CARRO;40; R$  9,60 
SÃO LOURENÇO - LIMOEIRO;56; R$  13,44 
SÃO LOURENÇO - MENDES;63; R$  15,12 
SÃO LOURENÇO - FREITAS;71; R$  17,05 
SÃO LOURENÇO - ENCRUZILHADA;76; R$  18,25 
SÃO LOURENÇO - SURUBIM;97; R$  23,29 
BAR CHÃ - PAUDALHO;7; R$  3,50 
BAR CHÃ - CARPINA;19; R$  4,56 
BAR CHÃ - L. DO CARRO;25; R$  6,00 
BAR CHÃ - LIMOEIRO;41; R$  9,84 
BAR CHÃ - MENDES;51; R$  12,24 
BAR CHÃ - FREITAS;59; R$  14,16 
BAR CHÃ - ENCRUZILHADA;64; R$  15,36 
BAR CHÃ - SURUBIM;88; R$  21,12 
PAUDALHO - CARPINA;12; R$  3,50 
PAUDALHO - L. DO CARRO;18; R$  4,32 
PAUDALHO - LIMOEIRO;34; R$  8,16 
PAUDALHO - MENDES;44; R$  10,56 
PAUDALHO - FREITAS;52; R$  12,48 
PAUDALHO - ENCRUZILHADA;57; R$  13,68 
PAUDALHO - SURUBIM;78; R$  18,73 
CARPINA - L. DO CARRO;6; R$  3,50 
CARPINA - LIMOEIRO;22; R$  5,28 
CARPINA - MENDES;32; R$  7,68 
CARPINA - FREITAS;40; R$  9,60 
CARPINA - ENCRUZILHADA;45; R$  10,80 
CARPINA - SURUBIM;66; R$  15,85 
