RECIFE/AMARAJI;98;19,76
CHA DE ALEGRIA/CAMARAGIBE ;37;8,95
RECIFE/VITORIA DE SANTO ANTAO (VIA TIP);39;7,86
PALMARES/RECIFE;132;26,62
RECIFE/RIBEIRAO;87;20,89
RECIFE/CUMARU (VIA LIMOEIRO);120;24,20
RECIFE/ AMEIXAS (ATE RIACHO DAS ALMAS);135;27,22
RECIFE/ESCADA;60;12,10
ESCADA/CABO ;36;7,26
ESCADA/VITORIA DE SANTO ANTAO;39;7,86
RECIFE/VITORIA DE SANTO ANTAO (VIA ABDIAS DE CARVALHO);51;10,28
RECIFE/CUPIRA (PROLONGADA ATE PANELAS);216;51,86
RIBEIRAO/TAMANDARE ;68;13,71
RECIFE/BONITO ;122;29,29
RECIFE/VITORIA;43;10,32
RECIFE/ENT. DE CHA GRANDE;54;12,96
RECIFE/GRAVATA;76;18,25
RECIFE/INSURREICAO;90;21,61
RECIFE/BEZERROS;96;23,05
RECIFE/SAIRE;113;27,13
RECIFE/CAMOCIM DE SAO FELIX;111;26,65
RECIFE/BONITO ;127;30,49
RACIFE/BARRA;132;31,69
RECIFE/SAO JOAQUIM DO MONTE;122;29,29
BONANCA/VITORIA;17;4,08
BONANCA/ ENT. DE CHA GRANDE;38;9,12
BONANCA/GRAVATA;50;12,00
BONANCA/INSURREICAO;64;15,36
BONANCA/BEZERROS;70;16,81
BONANCA/SAIRE;87;20,89
BONITO/CARUARU;45;9,07
RIBEIRAO/CARUARU;110;22,18
VITORIA DE SANTO ANTAO/CHA DE ALEGRIA (VIA USINA ALVORADA);22;5,32
VITORIA DE SANTO ANTAO/RECIFE (VIA JABOATAO);51;10,28
RECIFE/SAO JOAQUIM DO MONTE;117;28,09
RECIFE/BARRA DE GUABIRABA (VIA BEZERROS);126;30,25
RECIFE/JUREMA;211;50,66
CHA DE ALEGRIA/SAO LOURENCO DA MATA (VIA ENG. TAPACURA);31;7,50
RECIFE/PANELAS (VIA AGRESTINA);216;51,86
RECIFE/AGRESTINA;181;43,45
RECIFE/CAMOCIM DE SAO FELIX;107;25,69
VITORIA DE SANTO ANTAO/GLORIA DO GOITA;22;4,44
VITORIA DE SANTO ANTAO/LIMOEIRO;51;10,28
