CARUARU;SAO CAETANO;20;4.03 
CARUARU;BEZERROS;28;5.65 
CARUARU;ENCRUZILHADA;14;3.00 
ENCRUZILHADA;BEZERROS;14;3.00 
CARUARU;SANTA CRUZ DO CAPIBARIBE;56;11.29 
CARUARU;RAFAEL;12;3.00 
CARUARU;CACHOEIRA SECA;24;4.84 
CARUARU;LAGES ;30;6.05 
CARUARU;TORITAMA;38;7.66 
CARUARU;PAO DE ACUCAR;48;9.68 
RAFAEL;CACHOEIRA SECA;12;3.00 
RAFAEL;LAGES;18;3.63 
RAFAEL;TORITAMA;26;5.24 
RAFAEL;PAO DE ACUCAR;37;7.46 
RAFAEL;SANTA CRTUZ DO CAPIBARIBE;44;8.87 
CACHOEIRA SECA;LAGES;6;3.00 
CACHOEIRA SECA;TORITAMA;14;3.00 
CACHOEIRA SECA;PAO DE ACUCAR;25;5.04 
CACHOEIRA SECA;SANTA CRUZ DO CAPIBARIBE;32;6.45 
LAGES;TORITAMA;8;3.00 
LAGES;PAO DE ACUCAR;19;3.83 
LAGES;SANTA CRUZ DO CAPIBARIBE;26;5.24 
TORITAMA;PAO DE ACUCAR;11;3.00 
TORITAMA;SANTA CRUZ DO CAPIBARIBE;22;4.44 
PAO DE ACUCAR;SANTA CRUZ DO CAPIBARIBE;9;3.00 
